package,number_of_components,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.csv.CSVFormat,77,223,0.18554539630772815,0.3710907926154563,0.9838403425847372,0.8961038961038961,0.3271622387667717,0.0045045045045045045
org.apache.commons.csv.QuoteMode,3,2,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,-1
org.apache.commons.csv.CSVParser,23,88,0.383399209486166,0.766798418972332,0.9177115987460815,0.8695652173913043,0.6119128721661448,0.11392405063291139
org.apache.commons.csv.Lexer,20,105,0.690952380952381,0.618095238095238,0.9278388278388279,0.65,0.37277029478458046,0.0
org.apache.commons.csv.CSVRecord,18,91,0.13797313797313798,0.27594627594627597,0.8898656898656898,0.9444444444444444,0.23191317192131192,0.08333333333333333
org.apache.commons.csv.TokenMatchers,10,29,0.5241379310344828,0.9517241379310344,0.5788177339901478,0.6,0.3305248853405809,0.0
org.apache.commons.csv.CSVPrinter,12,75,0.2877777777777778,0.5755555555555556,0.76,1.0,0.43742222222222227,0.0273972602739726
org.apache.commons.csv.Assertions,2,157,0.5,1.0,0.0,1.0,0.0,-1
org.apache.commons.csv.ExtendedBufferedReader,10,110,0.5809090909090909,0.8381818181818181,0.9164303586321935,1.0,0.7681352642353476,0.0
org.apache.commons.csv.Utils,2,8,0.5,1.0,0.0,1.0,0.0,-1
org.apache.commons.csv.Token,16,111,0.19313063063063063,0.38626126126126126,0.49172809172809173,0.5625,0.1068387260110233,0.037383177570093455
org.apache.commons.csv.Constants,1,0,0,0.0,0,0,0.0,-1
